10217 - CHALEIRA MIMO STYLE VERDE AJ10179;10217;Categoria 1;28.18;48.9
10218 - CHALEIRA MIMO STYLE INOX AJ10129;7898452510818;Categoria 1;25.56;44.29
10219 - CJ.DECORGLASS SOBREMESA MACA 07P 001062;7896618210626;Categoria 1;30.71;52.11
1022 - CHALEIRA ITALYINOX 2L R:1002/P;7896644500012;Categoria 1;12.6;20.98
10220 - BANDEJA DECORGLASS RET VIME 00372;10220;Categoria 1;77.08;130.89
10221 - SALADEIRA TOYLAND BCA 22CM 05536022;6900000360224;Categoria 1;13.66;23.25
10222 - TRAVESSA TOYLAND RED 24X5CM 05536025;6900000360255;Categoria 1;23.43;39.52
10223 - TRAVESSA TOYLAND RED 5,5X28 05536026;6900000360262;Categoria 1;36.46;61.49
10224 - TRAVESSA TOYLAND QUAD 30CM 05536029;6900000360293;Categoria 1;53.16;88.74
10225 - TRAVESSA TOYLAND OVAL 20X30 05536030;6900000360309;Categoria 1;22.94;39.68
10226 - TRAVESSA TOYLAND OVAL 23X35 05536031;6900000360316;Categoria 1;34.93;60.94
10227 - TRAVESSA TOYLAND RET 24X30 05536033;6900000360330;Categoria 1;21.69;39.02
10228 - TRAVESSA TOYLAND RET 27X41 05536035;6900000360354;Categoria 1;53.16;88.74
10229 - TRAVESSA TOYLAND OVAL SUPORTE 38 05536114;6900000361146;Categoria 1;62.75;108.11
10230 - PETISQUEIRA TOYLAND 03 DIV 05563001;10230;Categoria 1;2.92;5.38
10231 - TRAVESSA TOYLAND RET SUPORTE 38,5 05536112;6900000361122;Categoria 1;66.68;114.72
10232 - RECHAUD TOYLAND RETANGULAR 48,3-60CM 05536038;6900000360385;Categoria 1;226.82;503.83
10233 - PRATO TOYLAND QUICHE 28CM 05564012;10233;Categoria 1;10.74;19.76
10234 - PRATO TOYLAND FUNDO 35,3CM 05564013;10234;Categoria 1;20.8;38.3
10235 - CANECA OXFORD SKY 360ML;7453021348966;Categoria 1;7.03;14.9
10236 - CANECA OXFORD ESSENCE 360ML;7897024805291;Categoria 1;7.03;14.9
10237 - BANDEJA TOYLAND 46X27CM 310017;10237;Categoria 1;21;36.52
10238 - FAQUEIRO TOYLAND INOX MALETA 101P 350006;10238;Categoria 1;247.45;423.91
10239 - FAQUEIRO TOYLAND INOX MALETA 101P 350009;10239;Categoria 1;251.87;431.68
10244 - POTE PLASVALE FREEZER/MICROONDAS R:334;7891115003344;Categoria 1;2.14;3.66
10245 - AGUARDENTE VELHO BARREIRO LIMAO 910ML;10245;Categoria 1;4.7;7.05
10246 - RUN BACARDI CARTA OURO 980ML;7891125064076;Categoria 1;16.65;24.92
10247 - TEQUILA JOSE CUERVO SILVER PLATA 750ML;7501035042322;Categoria 1;39.78;59.61
10248 - TEQUILA JOSE CUERVO OURO ESPECIAL 750ML;7501035010109;Categoria 1;39.78;59.61
10252 - SUPORTE CAS MULTICORTADOR GL319;10252;Categoria 1;21.2;36.19
10253 - MEDIDOR CAS 600ML GL321;7898497571836;Categoria 1;9.88;16.93
10254 - TRAVESSA CASAMBIENTE REFRATARIA HP054;7898467569849;Categoria 1;48.21;80.92
10255 - TRAVESSA CASAMBIENTE REFRATARIA HP055;7898467569856;Categoria 1;32.87;55.22
10256 - TRAVESSA CASAMBIENTE REFRATARIA HP057;7898467569825;Categoria 1;47.06;79.09
10257 - TRAVESSA CASAMBIENTE REFRATARIA HP059;7898467569894;Categoria 1;48.21;80.92
10258 - TRAVESSA CASAMBIENTE REFRATARIA HP061;7898467569917;Categoria 1;51.28;86.14
10259 - CHALEIRA CASAMBIENTE ESMALTADA 2,5L KE3252;10259;Categoria 1;87.81;158.62
1026 - VINAGREIRO/AZEITEIRO IMPORTADO AVULSO;A431;Categoria 1;9.95;11.04
10260 - CHALEIRA CASAMBIENTE ESMALTADA 2,5L KE3254;10260;Categoria 1;87.81;176.38
10261 - BANDEJA EDFORT MELANINA MED L003;10261;Categoria 1;14.64;26.53
10262 - BANDEJA EDFORT MELANINA GDE L003;10262;Categoria 1;18.56;29.75
10263 - MOEDOR CASAMBIENTE PIMENTA OV13/OV15;7898467564387;Categoria 1;28;40.96
10264 - MOEDOR CASAMBIENTE PIMENTA SN131;7898467565025;Categoria 1;9.26;15.65
10265 - VINAGREIRO/AZEITEIRO CAS SN133;7898467569030;Categoria 1;4.76;8.33
10266 - CJ.CASAMBIENTE LUV+TOAL+CES PAO TOW026 TOW027;7898497570952;Categoria 1;24.4;0.01
10267 - COZI-PASTA TRAMONTINA SOLAR 65500/400;8411782015854;Categoria 1;265.43;530.36
10270 - TRAVESSA ALIMPORT ORIENTAL MF0017S;7898504186718;Categoria 1;2.57;4.33
10271 - FORMA MTA PUDIM N.20 149;7897186601496;Categoria 1;11.3;0.01
10272 - ASSADEIRA MTA REDONDA N.28 159;7897186601595;Categoria 1;6.6;11.27
10273 - ASSADEIRA MTA REDONDA N.30 160;7897186601601;Categoria 1;8.4;14.21
10274 - FORMA MTA PUDIM N.18 168;7897186601687;Categoria 1;10.21;0.01
10275 - ESPETO MTA ALUMINIO 2934;7897186629346;Categoria 1;12.15;20.54
10276 - ESPETO MTA ALUMINIO 2935;7897186629353;Categoria 1;14.77;24.92
10277 - ESPETO MTA ALUMINIO 2936;7897186629360;Categoria 1;9.5;16.1
10278 - PANQUEQUEIRA MTA ANTIAD N.22 351;7897186603513;Categoria 1;14.18;23.87
10279 - ASSADEIRA MTA REDONDA N.35 53;7897186600536;Categoria 1;8.85;15.26
1028 - FRUTEIRA LUVIDARTE FRUTARE R:110L;1028;Categoria 1;40.97;69.26
10280 - BULE MTA ANTIAD TPA/VDO 1,7L 628;7897186606286;Categoria 1;21.53;35.35
10281 - FORMA MTA BOLO CANUDO N.26 656;7897186606569;Categoria 1;10.07;17.21
10282 - FORMA MTA PAO N.03 68;7897186600680;Categoria 1;7.56;13.04
10283 - FORMA MTA PAO N.02 69;7897186600697;Categoria 1;5.31;10.05
10284 - BALDE MTA GELO 08L 716;7897186607122;Categoria 1;14.94;0.01
10285 - CHALEIRA MTA ANTIAD TPA/VDO 2,7L 8000;7897186680002;Categoria 1;42;69.87
10286 - PIPOQUEIRA TRAMONTINA PARIS 22CM 6L 20536/622;7891112183568;Categoria 1;124.88;209.8
10287 - PIPOQUEIRA MTA VERSATIL TPA/VDO N.22 8024;7897186680248;Categoria 1;40.48;66.54
10288 - COZI-VAPORE MTA TPA/VDO N.20 8213;7897186682136;Categoria 1;21.34;39.85
